Date,X,GE,APPL,GOOG,F,
4/20/18,36.54,14.41,165.08,1072.96,10.67,
4/23/18,36.42,14.39,164.61,1067.45,10.89,
4/24/18,36.36,14.55,162.31,1019.98,10.81,
4/25/18,36.94,13.93,163.02,1021.18,10.96,
4/26/18,37.59,14.25,163.59,1040.04,11.27,
4/27/18,32.27,14.25,161.70,1030.05,11.33,
4/30/18,33.73,13.95,164.63,1017.33,11.08,
5/1/18,32.09,13.93,168.45,1037.31,11.10,
5/2/18,32.15,14.06,175.89,1024.38,11.05,
5/3/18,32.81,13.81,176.21,1023.72,11.04,
5/4/18,34.41,13.98,183.12,1048.21,11.20,
5/7/18,34.40,13.95,184.45,1054.79,11.18,
5/8/18,34.49,14.14,185.34,1053.91,11.11,
5/9/18,34.90,14.49,186.64,1082.76,10.91,
5/10/18,35.84,14.56,189.31,1097.57,11.05,
5/11/18,35.70,14.47,188.59,1098.26,11.03,
5/14/18,36.24,14.58,188.15,1100.20,11.03,
5/15/18,35.80,14.58,186.44,1079.23,11.06,
5/16/18,37.45,14.90,188.18,1081.77,11.24,
5/17/18,37.48,14.90,186.99,1078.59,11.30,
5/18/18,36.40,14.84,186.31,1066.36,11.17,
5/21/18,35.00,15.13,187.63,1079.58,11.35,
5/22/18,35.75,15.16,187.16,1069.73,11.36,
5/23/18,35.38,14.06,188.36,1079.69,11.28,
5/24/18,35.71,14.47,188.15,1079.24,11.46,
5/25/18,35.33,14.50,188.58,1075.66,11.35,
5/29/18,35.16,14.06,187.90,1060.32,11.28,
5/30/18,36.19,14.05,187.50,1067.80,11.39,
5/31/18,36.81,13.96,186.87,1084.99,11.39,
6/1/18,37.63,13.98,190.24,1119.50,11.55,
6/4/18,37.21,13.59,191.83,1139.29,11.58,
6/5/18,36.80,13.68,193.31,1139.66,11.67,
6/6/18,37.49,13.52,193.98,1136.88,11.80,
6/7/18,36.76,13.66,193.46,1123.86,11.86,
6/8/18,37.10,13.81,191.70,1120.87,11.93,
6/11/18,37.02,13.86,191.23,1129.99,11.86,
6/12/18,37.52,13.86,192.28,1139.32,11.94,
6/13/18,37.32,13.77,190.70,1134.79,11.85,
6/14/18,37.56,13.52,190.80,1152.12,11.73,
